date,category,title,amount
2023-09-12,restaurante,Pag*Mariainezde,7.00
2023-09-11,restaurante,Ifood *Ifd*Artveg,33.88
2023-09-02,supermercado,Mini Mercado Costa,5.00
2023-08-31,restaurante,Paulo Saburo Ito,51.00
2023-08-28,supermercado,Regiane Cardena Siquei,12.00
2023-08-28,transporte,Cafure e Goncalves,60.00
2023-08-28,supermercado,Supermsupeercado Santo,89.05
2023-08-27,casa,Pag*Zig,64.00
2023-08-27,transporte,Posto Tatinha Iv,168.82
2023-08-27,supermercado,S. de Lima Peres,5.00
2023-08-26,outros,Pag*Juliane,14.00
2023-08-24,restaurante,Burger King,34.90
2023-08-23,casa,Atacadao 031 As,436.79
2023-08-23,lazer,Pac Amadeu Cruz,340.00
2023-08-21,payment,Pagamento recebido,-1758.36
2023-08-20,serviços,Cafe Show,2.50
2023-08-17,supermercado,Comper,92.77
2023-08-16,casa,Atacadao 031 As,150.74
2023-08-13,transporte,Posto Brilhante,50.00
2023-08-13,supermercado,Pag*Meumercado,36.82
2023-08-13,eletrônicos,conserto tela e bateria do Tablet 4/10,138.00
2023-08-13,restaurante,Padaria Albuquerque,10.47
