date,category,title,amount
2023-12-12,casa,Net Pgt*Fatura Claro,92.07
2023-12-11,restaurante,Conveniencia Fagundes,15.00
2023-12-10,viagem,Concessionaria de Rodo,7.10
2023-12-10,viagem,Concessionaria de Rodo,6.90
2023-12-10,viagem,Concessionaria de Rodo,7.10
2023-12-10,supermercado,Lanchonete San Martin,14.00
2023-12-10,viagem,Concessionaria de Rodo,6.90
2023-12-07,supermercado,Mini Mercado Costa,7.50
2023-12-06,restaurante,Gran Dona Lourdes Alim,38.00
2023-12-06,restaurante,Ifood *Ifd*Mbv Comer,75.80
2023-12-06,lazer,Milkshakeria,18.00
2023-12-05,restaurante,Ifood *Ifd*Mbv Comer,70.80
2023-12-05,supermercado,Pistache Emporio,123.17
2023-12-04,supermercado,Pag*Meumercado,21.50
2023-12-04,outros,Lulifarma,15.00
2023-12-03,outros,Pag*Joaobatista,38.00
2023-12-03,supermercado,Tomato Dogueria,41.50
2023-12-03,outros,Cervejaria Canalhas,12.00
2023-12-03,restaurante,Ifood *Ifd*Janaina C,41.49
2023-12-03,restaurante,Cantina da Pizza,40.50
2023-12-02,restaurante,Mais Que Salada,36.00
2023-12-02,outros,Mega,33.99
2023-12-01,restaurante,Ifood *Ifd*Tera Sush,71.00
2023-11-30,transporte,Campo Grande Parking,20.00
2023-11-29,eletrônicos,Shopee*Shopee,90.26
2023-11-29,outros,Shopee*Ultrasupply,87.65
2023-11-28,supermercado,The Coffee Payment,13.11
2023-11-28,saúde,Vindi *Newlentes,66.30
2023-11-28,casa,Multicoisas,99.98
2023-11-28,saúde,Pag*Ppcampogrande,79.62
2023-11-28,restaurante,Ifood *Ifd*Janaina C,76.79
2023-11-28,restaurante,A&K Cafeteria,16.30
2023-11-22,supermercado,Maria Inez de Figueire,7.00
2023-11-21,restaurante,Gran Dona Lourdes Alim,35.00
2023-11-20,supermercado,Comper,90.94
2023-11-20,payment,Pagamento recebido,-1825.49
2023-11-19,transporte,Abastec*Abastece Ai,165.56
2023-11-19,supermercado,Focas Beer Convenienci,11.99
2023-11-18,serviços,Pag*Matheusbritese,157.88
2023-11-18,restaurante,Pag*Paladarnutri,12.70
2023-11-18,supermercado,Pag*Buyathomecomercio,41.97
2023-11-18,restaurante,Pag*Paladarnutri,3.00
2023-11-16,restaurante,Ifood *Ifd*Wasabi Su,84.90
2023-11-16,vestuário,Bazar 15/11,46.00
2023-11-16,outros,Pag*Marioalessand,28.00
2023-11-16,restaurante,Pag*Capivascervejaria,15.00
2023-11-16,restaurante,Trevo Veggie,9.00
2023-11-15,saúde,Pdv*Drogaria.Freire,113.98
2023-11-14,supermercado,Carrefour Ecg,11.96
2023-11-13,supermercado,Daniella Di Domenico,40.00
2023-11-13,eletrônicos,conserto tela e bateria do Tablet 7/10,138.00
