date,category,title,amount
2023-10-12,restaurante,Ifood *Ifd*Wasabi Su,59.90
2023-10-09,serviços,Pag*Vivianeantunes,78.94
2023-10-09,transporte,Campo Grande Parking,12.00
2023-10-09,restaurante,Ifood *Ifd*Topizzima,37.80
2023-10-08,supermercado,Monise Cedran Benevide,2.00
2023-10-08,serviços,Pag*Lucasrodriguesda,30.00
2023-10-08,serviços,Pag*Lucasrodriguesda,5.00
2023-10-06,transporte,Estacionamento Bi Camp,17.00
2023-10-06,restaurante,Ifood *Ifd*Wasabi Su,88.90
2023-10-03,serviços,Amazon Aws Servicos Br,72.74
2023-10-02,outros,Hortezardetti,15.80
2023-10-02,restaurante,Ifood *Ifd*Vai de Su,35.90
2023-10-02,supermercado,Comper,31.56
2023-09-30,casa,Pag*Antoniotlaes,5.00
2023-09-30,supermercado,Pag*Paladarnutri,15.70
2023-09-30,outros,Bar,12.00
2023-09-29,restaurante,Pag*Maiarainesde,5.00
2023-09-29,restaurante,Mais Que Salada,45.45
2023-09-29,vestuário,Ele Ela Cosmeticos,47.20
2023-09-28,supermercado,Pag*Paladarnutri,15.70
2023-09-27,supermercado,Pag*Paladarnutri,15.70
2023-09-26,casa,Sertao,8.90
2023-09-25,restaurante,Ifood *Ifd*Vai de Su,52.90
2023-09-22,eletrônicos,Pag*Andrywfabriciodos,32.00
2023-09-21,lazer,Pac Amadeu Cruz,340.00
2023-09-20,serviços,Cafe Show,2.50
2023-09-20,payment,Pagamento recebido,-1802.74
2023-09-16,eletrônicos,Pag*Wandersonfernande,15.00
2023-09-16,casa,Ng Comercio,37.00
2023-09-16,supermercado,Comper,64.58
2023-09-16,casa,Fort Atacadista,167.26
2023-09-16,supermercado,Quitanda do Naldo,7.00
2023-09-16,casa,Sertao,35.90
2023-09-16,serviços,Pag*Edsonmassayoshi,16.00
2023-09-16,outros,Pag*Carollecristyespi,25.00
2023-09-15,serviços,Pag*Ruthcorreiade,5.00
2023-09-15,outros,Zezeacaraje,20.00
2023-09-13,serviços,Cafe Show,2.50
2023-09-13,eletrônicos,conserto tela e bateria do Tablet 5/10,138.00
