date,category,title,amount
2023-07-10,transporte,Kin Posto de Servicos,6.25
2023-07-10,transporte,Cafure e Goncalves,160.95
2023-07-10,supermercado,Pag*Pontoaroeira,10.00
2023-07-09,supermercado,Pag*Meumercado,44.73
2023-07-09,transporte,Uber *Uber *Trip,12.36
2023-07-07,transporte,Uber *Uber *Trip,19.96
2023-07-07,restaurante,Olfato Cafe,6.75
2023-07-06,restaurante,Tatu Bola Campo Grande,86.76
2023-07-06,transporte,Uber *Uber *Trip,9.95
2023-07-03,transporte,Abastec*Abastece Ai,50.00
2023-07-01,transporte,Buson *Viacao Total,405.92
2023-06-30,restaurante,Mais Que Salada,29.40
2023-06-21,lazer,Pac Amadeu Cruz,340.00
2023-06-20,payment,Pagamento recebido,-1738.52
2023-06-13,eletrônicos,conserto tela e bateria do Tablet 2/10,138.00
2023-06-13,eletrônicos,Cbahia *38040608012 2/3,181.67
2023-06-13,charge,Parcelamento de Compra "Mobills 6 Anos" 8/8,63.38
