date,category,title,amount
2023-04-11,restaurante,Padaria Albuquerque,14.80
2023-04-10,restaurante,Ifd*Pizzaria Rabonni,56.40
2023-04-08,supermercado,Supermercado Frama,6.55
2023-04-08,supermercado,Mini Mercado Costa,8.50
2023-04-07,casa,Fort Atacadista,47.08
2023-04-07,saúde,Pag*Ppcampogrande,9.89
2023-04-07,serviços,Cafe Show,2.50
2023-04-07,transporte,Abastec*Abastece Ai,153.09
2023-04-05,supermercado,Pag*Meumercado,34.67
2023-04-05,restaurante,Picadinho Fisico,44.50
2023-04-05,serviços,Ppro *Adobe,86.00
2023-04-04,saúde,Funcional,340.00
2023-04-02,supermercado,Pub,5.00
2023-04-02,supermercado,Pag*Meumercado,15.90
2023-03-31,supermercado,Comper,250.46
2023-03-30,supermercado,Pag*Paladarnutri,15.00
2023-03-29,casa,Atacadao 031 As,45.90
2023-03-28,supermercado,Comper,20.54
2023-03-27,transporte,Auto Posto Rio Negro,135.04
2023-03-26,restaurante,Pelegrini Sobremesas,20.00
2023-03-25,supermercado,Pag*Tacianetiemiito,17.00
2023-03-25,casa,Ng Comercio,10.00
2023-03-23,supermercado,Comper,82.39
2023-03-23,transporte,Campo Grande Parking,14.00
2023-03-23,supermercado,Comper,35.06
2023-03-23,restaurante,Gran Dona Lourdes,41.00
2023-03-22,reversal_upfront_national_settled,Estorno de "Baru Centro de Treinam",-160.00
2023-03-20,charge,RESIDENCIAL ALBUQUERQUE II,289.36
2023-03-20,lazer,Baru Centro de Treinam,160.00
2023-03-20,payment,Pagamento recebido,-670.44
2023-03-18,restaurante,Padaria Albuquerque,7.50
2023-03-17,outros,Mercadolivre*Cantinaq,7.00
2023-03-17,serviços,Cafe Show,2.50
2023-03-17,outros,Mercadolivre*Cantinaq,4.00
2023-03-16,restaurante,Padaria Albuquerque,15.27
2023-03-15,outros,Mercadolivre*Cantinaq,4.00
2023-03-14,restaurante,Ifd*Sobaria do Japa,33.90
2023-03-13,restaurante,Suco Frutao,15.50
2023-03-13,restaurante,Manjerina,36.90
2023-03-13,educação,Pag*Vox2you 11/12,78.91
2023-03-13,supermercado,Comper,9.99
2023-03-13,charge,Parcelamento de Compra "Hostgator" 10/12,51.51
2023-03-13,charge,Parcelamento de Compra "Mobills 6 Anos" 5/8,63.38
