date,category,title,amount
2023-05-11,casa,Pag*Sergioaparesidode,12.00
2023-05-10,serviços,Cafe Show,2.50
2023-05-09,outros,Aroma,12.00
2023-05-08,lazer,Wilker Cruz,340.00
2023-05-07,casa,Fort Atacadista - Mensal,453.62
2023-05-04,casa,Pag*Sergioaparesidode,20.00
2023-05-03,serviços,Cafe Show,2.50
2023-05-02,supermercado,Focas Beer Convenienci,9.75
2023-05-01,supermercado,Mini Mercado Costa,42.00
2023-04-30,serviços,Cafe Show,2.50
2023-04-30,serviços,Cafe Show,2.50
2023-04-30,saúde,Pague Menos,16.38
2023-04-25,restaurante,Paulo Saburo Ito,59.95
2023-04-25,casa,Pag*Sergioaparesidode,8.00
2023-04-25,transporte,Posto Locatelli Mae e,198.44
2023-04-25,supermercado,Sal da Terra,19.80
2023-04-23,supermercado,Mini Mercado Costa,15.00
2023-04-22,charge,ENERGISA,88.85
2023-04-21,vestuário,Pag*Eleelacosmetico,80.55
2023-04-21,supermercado,Emporio Bella Terra,85.00
2023-04-21,supermercado,Comper,268.28
2023-04-20,restaurante,Pag*Mariainezde,9.00
2023-04-20,outros,Mercpago *Cantinaq,7.50
2023-04-20,payment,Pagamento recebido,-2131.00
2023-04-19,serviços,Pag*Soniadeoliveira,3.50
2023-04-19,restaurante,Padaria Albuquerque,7.85
2023-04-17,supermercado,Sushi Ya,156.09
2023-04-16,serviços,Pag*Lucasrodriguesda,2.00
2023-04-16,supermercado,Mini Mercado Costa,18.00
2023-04-16,serviços,Pag*Lucasrodriguesda,15.00
2023-04-14,supermercado,Pag*Meumercado,26.46
2023-04-14,supermercado,Pag*Paladarnutri,15.00
2023-04-13,restaurante,Mercpago *Cantinaq,6.00
2023-04-13,educação,Pag*Vox2you 12/12,78.91
2023-04-13,charge,Parcelamento de Compra "Hostgator" 11/12,51.51
2023-04-13,charge,Parcelamento de Compra "Mobills 6 Anos" 6/8,63.38
