date,category,title,amount
2023-11-12,supermercado,Comper,56.27
2023-11-08,serviços,Amazon Aws Servicos Br,295.38
2023-11-05,vestuário,Pag*Max10confeccoes,176.98
2023-10-29,serviços,Cafe Show,2.50
2023-10-29,serviços,Cafe Show,2.50
2023-10-29,restaurante,Pag*Paladarnutri,15.70
2023-10-28,supermercado,Pistache Emporio,32.90
2023-10-28,supermercado,Wk Suplementos e Prod,127.50
2023-10-21,lazer,Pac Amadeu Cruz,340.00
2023-10-21,casa,Nunes Superme Vila Boa,7.99
2023-10-20,payment,Pagamento recebido,-1618.83
2023-10-20,educação,Leitura e Diversao,20.50
2023-10-17,supermercado,Comper,17.26
2023-10-16,serviços,Fatima Conceicao Mede,65.00
2023-10-16,supermercado,Pag*Emporioequiibrio,49.80
2023-10-15,eletrônicos,Pag*Edilsonvianaantun,12.00
2023-10-15,restaurante,Burger King,31.45
2023-10-15,supermercado,Dona Cheffa,24.00
2023-10-15,restaurante,Burger King,29.90
2023-10-15,restaurante,Capi Bar,15.00
2023-10-14,restaurante,Ifood *Ifd*Wasabi Su,59.90
2023-10-14,casa,Atacadao 031 As,257.76
2023-10-13,eletrônicos,conserto tela e bateria do Tablet 6/10,138.00
2023-10-13,vestuário,Ele Ela Cosmeticos 2/2,47.20
