date,category,title,amount
2023-02-03,serviços,Google Llc Workspace,51.85
2023-02-03,tax_foreign,IOF de "Google Llc Workspace",2.79
2023-02-02,restaurante,Padaria Albuquerque,12.50
2023-02-01,restaurante,Ifd*Sottile Pizzeria D,65.00
2023-01-31,transporte,Uber *Trip Help.Uber.C,10.99
2023-01-31,casa,Kriativa Expositores,24.28
2023-01-31,supermercado,Wk Suplementos e Prod,158.00
2023-01-30,outros,Serpamix,17.00
2023-01-30,transporte,Abastec*Abastece Ai,134.68
2023-01-30,restaurante,Padaria Albuquerque,4.00
2023-01-29,outros,Pg *Ton Quitanda e H,7.00
2023-01-29,restaurante,Padaria Albuquerque,6.50
2023-01-29,restaurante,Ifood *Ifd*Madame Ja,87.80
2023-01-27,casa,Rosa Morena Comercio,33.00
2023-01-24,vestuário,Aluguel de ternos,195.00
2023-01-24,supermercado,Emporio Natural Mais L,16.00
2023-01-22,supermercado,Supermercado Frama,14.79
2023-01-22,lazer,Baru Centro de Treinam,160.00
2023-01-22,supermercado,Cornershop Brasil Tecn,58.49
2023-01-21,restaurante,Pe de Vitamina In Pots,51.59
2023-01-21,restaurante,Ifood *Ifd*Sottile P,56.00
2023-01-20,payment,Pagamento recebido,-1364.40
2023-01-17,restaurante,Ifood *Ifd*Gendai Ca,52.90
2023-01-16,restaurante,Ifood *Ifd*China In,70.80
2023-01-16,restaurante,Strike Boliche Bar,21.78
2023-01-16,outros,Casautil,12.90
2023-01-15,restaurante,Padaria Albuquerque,16.95
2023-01-15,supermercado,Pg *Caninde Tabaco e C,16.00
2023-01-15,outros,Casautil,54.70
2023-01-15,transporte,Abastec*Abastece Ai,189.74
2023-01-13,charge,Parcelamento de Compra "Hostgator" 8/12,51.51
2023-01-13,restaurante,Ifood *Ifd*Gendai Ca,61.80
2023-01-13,supermercado,Conveniencia Biondo,11.44
2023-01-13,charge,Parcelamento de Compra "Dm *Betterme Brasil" 2/3,38.37
2023-01-13,educação,Pag*Vox2you 9/12,78.91
2023-01-13,charge,Parcelamento de Compra "Mobills 6 Anos" 3/8,63.38
2023-01-13,charge,Parcelamento de Compra "Google Storage" 3/4,97.29
