date,category,title,amount
2023-03-11,outros,Mercadolivre*Cantinaq,6.00
2023-03-10,outros,Mercadolivre*Cantinaq,4.00
2023-03-09,outros,Mercadolivre*Cantinaq,10.50
2023-03-08,casa,Fort Atacadista,17.49
2023-03-07,serviços,Ppro *Adobe,86.00
2023-03-04,supermercado,Quitanda do Naldo,7.00
2023-03-04,outros,Pag*Jairopereirade,15.00
2023-02-22,payment,Pagamento recebido,-2005.73
2023-02-13,educação,Pag*Vox2you 10/12,78.91
2023-02-13,charge,Parcelamento de Compra "Hostgator" 9/12,51.51
2023-02-13,charge,Parcelamento de Compra "Google Storage" 4/4,97.29
2023-02-13,charge,Parcelamento de Compra "Dm *Betterme Brasil" 3/3,38.37
2023-02-13,charge,Parcelamento de Compra "Mobills 6 Anos" 4/8,63.38
2023-02-13,vestuário,Aluguel de ternos 2/2,195.00
